name,artist_id,birth_date,death_date,birth_date_dt,death_date_dt,nationality_id,nationality,image_url,wikipedia_title,biography,family_name,given_name
Joseph Wright,Q6288081,1756,1793,+1756-07-16T00:00:00Z,+1793-09-13T00:00:00Z,Q30,United States of America,,Joseph Wright (American painter),"Joseph Wright (July 16, 1756, Bordentown, New Jersey – September 13, 1793, Philadelphia, Pennsylvania) was an American portrait painter and sculptor. He painted life portraits of George Washington and Benjamin Franklin, and was a designer of early U.S. coinage. Wright was President Washington's original choice for Chief Engraver of the U.S. Mint, but died at age 37, before being confirmed to that position.
Wright is often confused with his contemporary, the British painter Joseph Wright of Derby (1734–1797).",Wright,Joseph
Alvan Clark,Q448267,1804,1887,+1804-03-08T00:00:00Z,+1887-08-19T00:00:00Z,Q30,United States of America,https://commons.wikimedia.org/wiki/Special:FilePath/1891 AlvanClark Boston.png,Alvan Clark,"Alvan Clark (March 8, 1804 – August 19, 1887), born in Ashfield, Massachusetts, was an American astronomer and telescope maker.",Clark,Alvan
Pieter de Molijn,Q28771,1595,1661,+1595-04-06T00:00:00Z,+1661-03-23T00:00:00Z,Q170072,Dutch Republic,"https://commons.wikimedia.org/wiki/Special:FilePath/Portret van kunstenaar Pieter de Molijn Portretten van kunstenaars (serietitel), RP-P-1940-1108.jpg",Pieter de Molijn,"Pieter de Molijn (6 April 1595 in London – 23 March 1661 in Haarlem) was a Dutch Golden Age painter and engraver of English birth and Flemish descent.
He was baptized in the Dutch Reformed Austin Friars church in London. He was born to Pieter de Moijn, from Ghent, and Lynken van den Bossche, from Brussels. It is possible that the family emigrated due to business rather than religious persecution. Little is known of his early training, but he probably traveled to Italy and in 1616 he became a member of the Haarlem Guild of St. Luke. He was a contemporary of Jacob Pinas. He married Geertuyt Huygen de Bie. During the years 1616–27 he lived in Delft where he remarried after his first wife died. In the marriage notice, his wife Geertruyt de Roovere is from Amsterdam and he is from Delft.
De Molijn was possibly a student of Esaias van de Velde. He taught several students, including Gerard ter Borch the Elder & his son, Jan Coelenbier, Allart van Everdingen, Christian de Hulst, Anthony Molijn (1635-1702), and Jan Wils. De Molijn was known for his landscapes, but he also made genre pieces, marine scenes, portraits,
and architectural pieces. This type of oeuvre is typical for the Italian-bound artists of his day, who paid their way as a jack-of-all-trades.",Molijn,Pieter
Linton Park,Q21409331,1826,1906,+1826-01-01T00:00:00Z,+1906-00-00T00:00:00Z,,,,Linton Park (artist),"Linton Park (16 November 1826, in Marion Center, Pennsylvania – 17 September 1906, in Erie, Pennsylvania) was an American painter in the Folk Art tradition and vegetarian union soldier.",Park,Linton
David Norslup,Q63486571,19th century,19th century,+1825-00-00T00:00:00Z,+1875-00-00T00:00:00Z,Q30,United States of America,,,,Norslup,David
Jean Baptiste de Champaigne,Q3164509,1631,1681,+1631-12-10T00:00:00Z,+1681-10-27T00:00:00Z,Q1031430,Habsburg Netherlands,"https://commons.wikimedia.org/wiki/Special:FilePath/Selfportrait at the age of seventeen, Jean-Baptiste de Champaigne.jpg",Jean Baptiste de Champaigne,"Jean Baptiste de Champaigne (10 December 1631 – 27 October 1681), was a Flemish Baroque painter and teacher.",de Champaigne,Jean Baptiste
Master of the Prado Adoration of the Magi,Q16038558,,,,,Q55,Netherlands,https://commons.wikimedia.org/wiki/Special:FilePath/Memling Adoration des Mages Prado01558.jpg,Master of the Prado Adoration of the Magi,"The Master of the Prado Adoration of the Magi was a Netherlandish painter active between c. 1475 and 1500 whose identity is now lost. He is thought to have originated from the southern Netherlands and is known for his vibrant colourisation in panels depicting scenes from the infancy of Christ, he is thought to have been a pupil of Rogier van der Weyden, and is named after a copy of the ""Adoration of the Magi"" panel from that painter's St Columba Altarpiece. Although the Magi became a popular topic for northern painters in the second half of the 15th century and the Columba altarpiece was widely copied, the master is associated with van der Weyden's workshop because the copy is so close, it is believed he must have had access to a reproduction of the underdrawing.
Six panels are today associated to the master; five showing scenes from Christ's infancy and one of Saint Francis. Two panels now in the Burrell Collection in Glasgow, are assumed to be wings of a lost portable triptych. All six works had been attributed by art historian Georges Hulin de Loo to Hans Memling, a painter strongly influenced by van der Weyden (although this would date the work as 1464 at latest). de Loo noted the Glasgow panel's ""elegance and sensitivity"", and speculated that they were based on prototypes by van der Weyden, perhaps finished by Memling under van der Weyden's supervision. However this view was eventually rejected and the panels attributed to an unidentified painter, who had apprenticed under van der Weyden and was in contact and influenced by Memling and the Master of the Legend of St. Catherine, who is sometimes thought to have been Pieter van der Weyden, Rogier's son.",,
Maarten van Heemskerck,Q538350,1498,1574,+1498-01-01T00:00:00Z,+1574-10-01T00:00:00Z,Q29999,Kingdom of the Netherlands,"https://commons.wikimedia.org/wiki/Special:FilePath/Maerten van Heemskerck - Self-portrait, with the Colosseum (Fitzwilliam Museum).jpg",Maarten van Heemskerck,"Maarten van Heemskerck (born Maerten Jacobsz van Veen; 1 June 1498 – 1 October 1574), also known as Marten Jacobsz Heemskerk van Veen, was a Dutch portrait and religious painter, who spent most of his career in Haarlem. He was a pupil of Jan van Scorel, and adopted his teacher's Italian-influenced style. He spent the years 1532–36 in Italy. He produced many designs for engravers, and is especially known for his depictions of the Wonders of the World.",van Heemskerck,Maerten
Peter McCallion,Q77444299,,1900,,+1900-01-01T00:00:00Z,,,,,,McCallion,Peter
Charles C. Ingham,Q5076001,1796,1863,+1796-01-01T00:00:00Z,+1863-12-10T00:00:00Z,Q30,United States of America,https://commons.wikimedia.org/wiki/Special:FilePath/Charles Cromwell Ingham.jpg,Charles C. Ingham,Charles Cromwell Ingham (1796 or 1797 – 10 December 1863) was an Irish portrait painter and later a founder of the New York National Academy of Design.,Ingham,Charles
Morton Livingston Schamberg,Q1948749,1881,1918,+1881-10-15T00:00:00Z,+1918-10-13T00:00:00Z,Q30,United States of America,https://commons.wikimedia.org/wiki/Special:FilePath/Schamberg selbstportrait 600.jpg,Morton Livingston Schamberg,"Morton Livingston Schamberg (October 15, 1881 – October 13, 1918) was an American modernist painter and photographer.  He was one of the first American artists to explore the aesthetic qualities of industrial subjects. Schamberg is considered a pioneer of the Precisionism art movement, and one of the first American adopters of Cubist style.",Schamberg,Morton
Baldassare Estense,Q804745,1443,1504,+1443-01-01T00:00:00Z,+1504-01-01T00:00:00Z,Q38,Italy,https://commons.wikimedia.org/wiki/Special:FilePath/Unknown Master (active around 1480-90 in Ferrara) - Family of Uberto de' Sacrati - Alte Pinakothek.jpg,Baldassare Estense,"Baldassare Estense (ca. 1443 - after 1504) was an Italian painter.
He was born in Reggio, has been supposed to have been an illegitimate scion of the house of Este, since no mention of his father's name ever occurs in contemporary records, whilst he was called 'Estensis,' and received unusual promotion and rewards from the Dukes of Ferrara. He was a pupil of Cosimo Tura, and was also a medallist. In 1469 he painted the likeness of Borso I, and was ordered to present it in person to the Duke of Milan. From 1471 to 1504 he was a salaried officer at the court of Ferrara, living first in Castel Nuovo, for which he painted a canvas that has perished, and afterwards in Castel Tedaldo, of which he was the governor. In 1483 he painted the portrait of Tito Strozzi, now in the Costabili Gallery at Ferrara. His will, dated 1500, is in the archives of Ferrara, but the exact date of his death is unknown.",d'Este,Baldassare
Norman Lewis,Q7052490,1909,1979,+1909-07-23T00:00:00Z,+1979-08-27T00:00:00Z,Q30,United States of America,,Norman Lewis (artist),"Norman Wilfred Lewis (July 23, 1909 – August 27, 1979) was an American painter, scholar, and teacher. Lewis, who was African-American and of Bermudian descent, was associated with abstract expressionism, and used representational strategies to focus on black urban life and his community's struggles.

",Lewis,Norman
Abel Grimmer,Q2315989,1570s,1610s,+1570-00-00T00:00:00Z,+1619-09-00T00:00:00Z,Q1031430,Habsburg Netherlands,,Abel Grimmer,"Abel Grimmer (family name variations: 'Grimer' and 'Grimmaert') (c. 1570–c. 1620) was a Flemish late Renaissance painter, mainly of landscapes and, to a lesser extent, of architectural paintings. His works were important in the development towards more naturalism in Flemish landscape painting.

",Grimmer,Abel
Louis-Joseph Le Lorrain,Q3260646,1715,1759,+1715-03-19T00:00:00Z,+1759-03-24T00:00:00Z,Q142,France,,Louis-Joseph Le Lorrain,"Louis-Joseph Le Lorrain (1715, Paris – 1760) was a French painter and engraver.
He studied design and engraving with Jacques Dumont.  He then moved to Rome, becoming known in artistic circles before returning to Paris to join the Academy. He spent some years in St Petersburg, Russia, where he died. He painted devotional canvases with vigorous touch. He engraved with acquaforte some of his own compositions. He also engraved the following paintings by Jean-Francois de Troy: the Judgement of Solomon, Solomon sacrifices to the idols of his concubine, Esther and Assuerus, and Death of Cleopatra. Among his disciples was Fyodor Rokotov.
His son, Jean-Baptiste Le Lorrain, was an engraver. He was born in Paris in 1737. Apprenticed to his father, his prints include: Chauville in tragedy of Calas by De Lorme; Venus at Judgement of Paris, by Boucher; the Tranquil Wave by Vernet; Homage to Love by Van Loo; and seven scenes of the Life of St Gregory .",Le Lorrain,Louis-Joseph
John Toole,Q21498010,1815,1860,+1815-01-01T00:00:00Z,+1860-01-01T00:00:00Z,,,,John Toole (artist),"John Toole, originally O'Toole (26 November 1815, in Dublin – 11 March 1860, in Charlottesville, Virginia) was an Irish-born American artist who worked as an itinerant portrait painter. He also created a few landscapes, to advertise his skills to potential customers.",Toole,John
C.F. Senior,Q21497699,,,,,,,,,,Senior,C.F.
Antonio Maria Vassallo,Q2857352,1620,1664,+1620-01-01T00:00:00Z,+1664-01-01T00:00:00Z,Q9301980,history of Genoa,,Antonio Maria Vassallo,"Antonio Maria Vassallo (c. 1620-1664/1673) was an Italian painter of the Baroque period, active mainly in Genoa, and painting mythologic scenes and still lifes.
His biography is poorly documented, and mainly depends on the Genoese biographer Raffaele Soprani (1674) as a source. He initially apprenticed with Vincenzo Malò (c. 1605-c. 1650), a Flemish artist who had studied with Teniers the Elder and Rubens. Vassallo appears to have been influenced by his fellow Genoese Sinibaldo Scorza and Giovanni Benedetto Castiglione.
He painted a St. Francis with Three female saints (1648) for the church of San Gerolamo in Quarto. Vassallo also painted a Martyrdom of Saint Marcello Mastrilli' (1664) for the Convento di Carignano.
Vassallo also painted portraits, yet no portraits by Vassallo are known at present.
The closest follower of Vassallo's still-life style is Giovanni Agostino Cassana (c. 1658-1720).",Vassallo,Anton Maria
Alexandre-François Desportes,Q1359864,1661,1743,+1661-02-24T00:00:00Z,+1743-04-20T00:00:00Z,Q142,France,https://commons.wikimedia.org/wiki/Special:FilePath/François Desportes- Self portrait.jpg,Alexandre-François Desportes,"Alexandre-François Desportes (24 February 1661 — 20 April 1743) was a French painter and decorative designer who specialised in animals.
Desportes was born in Champigneulle, Ardennes. He studied in Paris, in the studio of the Flemish painter Nicasius Bernaerts, a pupil of Frans Snyders. During a brief sojourn in Poland, 1695–96, he painted portraits of John III Sobieski and Polish aristocrats; after the king's death Desportes returned to Paris, convinced that he should specialise in animals and flowers. He was received by the Académie de peinture et de sculpture in 1699, with the Self-Portrait in Hunting Dress now in the Musée du Louvre. In 1712–13 he spent six months in England. He received many commissions for decorative panels for the royal châteaux: Versailles, Marly, Meudon, Compiègne and, his last royal commission, for Louis XV at Choisy, 1742. He also did decorative paintings for the duc de Bourbon at Chantilly. Both Louis XIV and Louis XV commissioned portraits of their favorite hunting dogs.
Desportes would follow the royal hunt with a small notebook he carried to make on-site sketches for still lives of the game that resulted from the day's hunt, for the king to make a choice of which were to be worked up into finished paintings. In several paintings he combined game with a buffet of spectacular pieces of silver as they might be displayed in a dining room; these are precious documents of the lost silver of the reign of Louis XIV.
His details of trophies of game or animals were used in cartoons for tapestry in which work of several painters was combined, woven at the Savonnerie and at the Gobelins (Portière de Diane, Louvre). For the Gobelins he designed the series of tapestries called Les Nouvelles Indes (8 of them, woven in the Manufacture Les Gobelins in Paris, have been saved in Archbishop's palace in Prague).
At his death, in Paris, he left a considerable amount of work in his studio (where his nephew Nicolas had trained), which included studies of animals and plants as well as some fox-hunting sketches by Jan Fyt. In 1784, the comte d'Angiviller, general director of the Bâtiments du Roi acquired these resources for painter's models at the manufactory of Sèvres porcelain, so that Desportes' influence in the iconography of French arts extended almost throughout the century.",Desportes,Alexandre-François
Orazio Gentileschi,Q367360,1563,1639,+1563-07-19T00:00:00Z,+1639-02-07T00:00:00Z,,,https://commons.wikimedia.org/wiki/Special:FilePath/Orazio Gentileschi by Anthony van Dyck ca. 1635.jpg,Orazio Gentileschi,"Orazio Lomi Gentileschi (1563–1639) was an Italian painter. Born in Tuscany, he began his career in Rome, painting in a Mannerist style, much of his work consisting of painting the figures within the decorative schemes of other artists.
After 1600, he came under the influence of the more naturalistic style of Caravaggio. He received important commissions in Fabriano and Genoa before moving to Paris to the court of Marie de' Medici. He spent the last part of his life at the court of Charles I of England and died in London. He was the father of the painter Artemisia Gentileschi.",Gentileschi,Orazio
Eduard Gaertner,Q880509,1801,1877,+1801-07-02T00:00:00Z,+1877-02-22T00:00:00Z,Q27306,Kingdom of Prussia,https://commons.wikimedia.org/wiki/Special:FilePath/EduardGaertnerSelbstportrait.jpg,Eduard Gaertner,Johann Philipp Eduard Gaertner (2 June 1801 – 22 February 1877) was a German painter who specialized in depictions of urban architecture.,Gaertner,Eduard
Simon Hantaï,Q870924,1922,2008,+1922-12-07T00:00:00Z,+2008-09-12T00:00:00Z,Q28,Hungary,https://commons.wikimedia.org/wiki/Special:FilePath/Simon 1974 Photo Daniel Hantaï.tif,Simon Hantaï,"Simon Hantaï (7 December 1922, Biatorbágy, Hungary – Paris, 12 September 2008; took French nationality in 1966) is a painter generally associated with abstract art.",Hantaï,Simon
Giuseppe Angeli,Q378182,1709,1798,+1709-01-01T00:00:00Z,+1798-01-01T00:00:00Z,Q4948,Republic of Venice,https://commons.wikimedia.org/wiki/Special:FilePath/Sacristy of San Francesco della Vigna (Venice) - Immacolata e santi di Giuseppe Angeli.jpg,Giuseppe Angeli,"Giuseppe Angeli (Venice 1709- Venice, 1798) was an Italian painter of the late-Baroque, known for depicting both genre and religious subjects.",Angeli,Giuseppe
Lucas van Leyden,Q320980,1494,1533,+1494-05-01T00:00:00Z,+1533-00-00T00:00:00Z,Q27996474,Northern Low Countries,https://commons.wikimedia.org/wiki/Special:FilePath/GG 160.jpg,Lucas van Leyden,"Lucas van Leyden (1494 – 8 August 1533), also named either Lucas Hugensz or Lucas Jacobsz, was a Dutch painter and printmaker in engraving and woodcut. Lucas van Leyden was among the first Dutch exponents of genre painting and was a very accomplished engraver.

Lucas was the son of the painter Huygh Jacobsz.  He was born, died, and was mainly active in Leiden.
Carel van Mander characterizes Lucas as a tireless artist, who as a child annoyed his mother by working long hours after nightfall, which she forbade not only for the cost of candlelight, but also because she felt that too much study was bad for his sensibilities. According to Van Mander, as a boy he only consorted with other young artists, such as painters, glass-etchers and goldsmiths, and was paid by the Heer van Lochorst (Johan van Lockhorst of Leiden, who died in 1510) a golden florin for each of his years at age 12 for a watercolor of St. Hubert.

",van Leyden,Lucas
Dirck Hals,Q759486,1591,1656,+1591-03-19T00:00:00Z,+1656-05-17T00:00:00Z,Q170072,Dutch Republic,https://commons.wikimedia.org/wiki/Special:FilePath/Beaux-Arts de Carcassonne - Scène Galante - Dirck Hals Joconde0440000028.jpg,Dirck Hals,"Dirck Hals (19 March 1591 – 17 May 1656), born at Haarlem, was a Dutch Golden Age painter of merry company scenes, festivals and ballroom scenes. He played a role in the development of these types of genre painting.  He was somewhat influenced by his elder brother Frans Hals, but painted few portraits.",Hals,Dirck
William Perkins Babcock,Q18508740,1826,1899,+1826-01-01T00:00:00Z,+1899-01-01T00:00:00Z,Q30,United States of America,,,,Babcock,William Perkins
Jan van der Heyden,Q370567,1637,1712,+1637-03-05T00:00:00Z,+1712-03-28T00:00:00Z,Q170072,Dutch Republic,https://commons.wikimedia.org/wiki/Special:FilePath/Portrait of Jan van der Heyden 001 cropped.jpg,Jan van der Heyden,"Jan van der Heyden (5 March 1637, Gorinchem – 28 March 1712, Amsterdam) was a Dutch Baroque-era painter, glass painter, draughtsman and printmaker. Van der Heyden was one of the first Dutch painters to specialize in townscapes and became one of the leading architectural painters of the Dutch Golden Age.  He painted a number of still lifes in the beginning and at the end of his career.
Jan van der Heyden was also an engineer and inventor who made significant contributions to contemporary firefighting technology. Together  with his brother Nicolaes, who was a hydraulic engineer, he invented an improvement of the fire hose in 1672. He modified the manual fire engine, reorganised the volunteer fire brigade (1685) and wrote and illustrated the first firefighting manual (Brandspuiten-boek). A comprehensive street lighting scheme for Amsterdam, designed and implemented by van der Heyden, remained in operation from 1669 until 1840 and was adopted as a model by many other towns and abroad.",van der Heyden,Jan
Hendrick Avercamp,Q212593,1585,1634,+1585-01-27T00:00:00Z,+1634-05-15T00:00:00Z,Q170072,Dutch Republic,https://commons.wikimedia.org/wiki/Special:FilePath/Hendrick Avercamp.jpg,Hendrick Avercamp,"Hendrick Avercamp (January 27, 1585 (bapt.) – May 15, 1634 (buried)) was a Dutch painter during the Dutch Golden Age of painting. He was one of the earliest landscape painters of the 17th-century Dutch school, he specialized in painting the Netherlands in winter. His paintings are colorful and lively, with carefully crafted images of the people in the landscape. His works give a vivid depiction of sport and leisure in the Netherlands in the beginning of the 17th century. Many of Avercamp's paintings feature people ice skating on frozen lakes.
Avercamp's work enjoyed great popularity and he sold his drawings, many of which were tinted with water-color, as finished pictures to be pasted into the albums of collectors. The Royal Collection has an outstanding collection of his works.",Avercamp,Hendrick
Roelant Savery,Q142710,1576,1639,+1576-01-01T00:00:00Z,+1639-00-00T00:00:00Z,Q1031430,Habsburg Netherlands,"https://commons.wikimedia.org/wiki/Special:FilePath/Joannes Meyssens, Adam Willaerts (after) - Portrait of Roelant Savery.jpg",Roelant Savery,"Roelant Savery (or Roeland(t) Maertensz Saverij, or de Savery, or many variants; 1576 – buried 25 February 1639) was a Flanders-born Dutch Golden Age painter.",Savery,Roelandt
Amzi Emmons Zeliff,Q21497656,1831,1915,+1831-01-01T00:00:00Z,+1915-01-01T00:00:00Z,,,,Amzi Emmons Zeliff,"Amzi Emmons Zeliff (April 11, 1831 – September 13, 1915) was an American businessman and folk painter.
Little about Zeliff's life is recorded; most of what is known comes from recollections of family members. He was a native of Morris County, New Jersey, the son of Daniel P. and Maria Van Houton Zeliff, and was descended from early Dutch settlers of the state and of Staten Island. He married Cornelia Harris, and may have lived in Essex County for a time. Zeliff was the owner of the White Horse Tavern in Lincoln Park, and lived in the same town, in a house which is said to have had ceiling murals in a floral pattern which he created himself. Only one painting by his hand is identified; this is The Barnyard, currently owned by the National Gallery of Art. Descendants, however, remember other pieces, including pictures of horses as well as a snow scene and a depiction of Queen Victoria. Furthermore, a directory of 1897–1898 published in Morris County lists him as a ""painter"" by trade. Little is known about Zeliff. His name appears on a list of commissioners of deeds for Morris County in 1892, and in a handful of legal records related to a property case involving land.
Zeliff died in 1915, aged 84, and was buried in Paterson, New Jersey.",Zeliff,Amzi Emmons
Dirk Hardenstein,Q41330953,1620,1681,+1620-04-04T00:00:00Z,+1681-01-01T00:00:00Z,,,,,,Hardenstein,Dirk
Winthrop Chandler,Q8026559,1747,1790,+1747-04-06T00:00:00Z,+1790-07-29T00:00:00Z,Q30,United States of America,https://commons.wikimedia.org/wiki/Special:FilePath/Winthrop Chandler self-portrait.jpg,Winthrop Chandler,"Winthrop Chandler (6 April 1747 – 29 July 1790) was an American artist known for his portraits, mainly of family members and neighbors, and a few landscapes.  He also worked as an ornamental artist.",Chandler,Winthrop
Bernard van Orley,Q454678,1487,1541,+1487-01-01T00:00:00Z,+1541-01-06T00:00:00Z,Q6581823,Southern Netherlands,https://commons.wikimedia.org/wiki/Special:FilePath/Bernard van Orley - Self-portrait on Exterior Panel of Triptych of Virtue of Patience.jpg,Bernard van Orley,"Bernard van Orley (between 1487 and 1491 – 6 January 1541), also called Barend or Barent van Orley, Bernaert van Orley or Barend van Brussel, was a versatile Flemish artist and representative of Dutch and Flemish Renaissance painting, who was equally active as a designer of tapestries and, at the end of his life, stained glass. Although he never visited Italy, he belongs to the group of Italianizing Flemish painters called the Romanists, who were influenced by Italian Renaissance painting, in his case especially by Raphael.
He was born and died in Brussels and ""served as a sort of commissioner of the arts for the Brussels town council"". He was the court artist of the Habsburg rulers.  He was extremely productive, concentrating on the design of his works, and leaving their execution largely to others, in the case of painting, and entirely so, in the case of the tapestries and stained glass.  This he may have learned from Raphael, whose workshop in Rome was unprecedentedly large.
Due to his reliance on workshop execution, his many surviving works vary considerably in quality. Many drawings, mostly studies for designs for tapestries and stained glass, also survive.  He or his workshop would have produced full-scale cartoons for the tapestries, but these were normally lost in the course of weaving, when they were cut into strips. The prevalent subject matter of his paintings are religious scenes and portraits, and he painted only a limited number of mythological and allegorical subjects.  His portraits mostly depict members of the Habsburg dynasty and were produced in multiple versions by his workshop.  The subject matter of his tapestries was more varied, reflecting the normal range of that medium, from biblical cycles to allegories, battle and hunting scenes.
His father had been a tapestry designer in Brussels, and several of Bernard's descendants were artists. A number of them were still active in the 18th century.

",van Orley,Bernard
Pierre Dupuis,Q3384873,1610,1682,+1610-03-03T00:00:00Z,+1682-02-18T00:00:00Z,Q70972,Kingdom of France,https://commons.wikimedia.org/wiki/Special:FilePath/Antoine Masson Pierre Dupuis.jpg,Pierre Dupuis,"Pierre Dupuis or Pierre Dupuys (3 March 1610 in Montfort-l'Amaury – 18 February 1682 in Paris) was a French painter. Dupuis was successful during his life and in 1646 he was appointed Peintre Ordinaire des Ecuries du Roi by his patron Henri de Lorraine, comte d'Harcourt, with the consent of Anne of Austria. In 1664 he was accepted into the Académie Royale de Peinture.
He lived in Italy, where he met Pierre Mignard (1612–1695) in 1637. He was a specialist of still lifes and his style was influenced by Northern Europe painting and Protestant religion. In his paintings of bouquets, an influence of Jacques Linard (1600–1645) and Louise Moillon (1610–1696). These paintings were very appreciated in his times.",Dupuis,Pierre
Charles Bird King,Q2958563,1785,1862,+1785-09-26T00:00:00Z,+1862-03-18T00:00:00Z,Q30,United States of America,https://commons.wikimedia.org/wiki/Special:FilePath/Self-Portrait of Charles Bird King aged 70.jpg,Charles Bird King,"Charles Bird King (September 26, 1785 – March 18, 1862) was an American portrait artist, best known for his portrayals of significant Native American leaders and tribesmen. His style incorporated Dutch influences, which can be seen most prominently in his still-life and portrait paintings. Although King's artwork was appreciated by many, it has also been criticized for its inaccurate depictions of Native American culture.",King,Charles
Hendrik van Steenwijk II,Q709393,1580,1649,+1580-09-00T00:00:00Z,+1649-01-01T00:00:00Z,Q1031430,Habsburg Netherlands,https://commons.wikimedia.org/wiki/Special:FilePath/Anthony van Dyck - Portrait of Hendrik van Steenwijck (II) (cropped).jpg,Hendrik van Steenwijk II,"Hendrik van Steenwijck II (also Steenwyck, Steinwick) (c.1580–1640) was a Baroque painter mostly of architectural interiors, but also of biblical scenes and still lifes.
Van Steenwijck was born in Antwerp.  His father, the Dutch painter Hendrik van Steenwijck I, one of the originators of the interiors genre, moved the family to Frankfurt am Main in 1585, where he trained his son. At his father's death in 1603, Van Steenwijck the Younger took over the studio in Frankfurt, but from 1604 until 1617 he was primarily active in Antwerp, where he collaborated with early Flemish Baroque painters such as Frans Francken I and Jan Brueghel the Elder. 
Van Steenwijck is best known for the numerous imaginary interiors that were based on the Cathedral of Our Lady, Antwerp. These had an immediate influence on paintings by Pieter Neeffs I. After settling in London by 1617, he painted backgrounds for Anthony van Dyck and Daniel Mytens the Elder. Van Steenwijck moved to The Hague around 1638, where he was a painter at the court. His wife, Susanna van Steenwijk was also an architectural painter. She moved to Leiden around 1642. Van Steenwijck died in Leiden or The Hague.",van Steenwijk,Hendrick
Joachim Patinir,Q442491,1480,1524,+1480-01-01T00:00:00Z,+1524-01-01T00:00:00Z,Q6581823,Southern Netherlands,https://commons.wikimedia.org/wiki/Special:FilePath/Joachim Patinir by Aegidius Sadeler II.jpg,Joachim Patinir,"Joachim Patinir, also called Patenier (c. 1480 – 5 October 1524), was a Flemish Renaissance painter of history and landscape subjects.  He was Flemish, from the area of modern Wallonia, but worked in Antwerp, then the centre of the art market in the Low Countries.  Patinir was a pioneer of landscape as an independent genre and he was the first Flemish painter to regard himself primarily as a landscape painter.  He effectively invented the world landscape, a distinct style of panoramic northern Renaissance landscapes which is Patinir's important contribution to Western art.  His work marks an important stage in the development of the representation of perspective in landscape painting. 
Patinir was a friend of not only Dürer, but also of the leading Antwerp painter Quentin Metsys, with whom he often collaborated. The Temptation of St Anthony (Prado) was executed in collaboration with Metsys, who added the figures to Patinir's landscape. His career was nearly contemporary with that of Albrecht Altdorfer, the other major pioneer of paintings dominated by the landscape, who worked in a very different style. He may have been the uncle of Herri met de Bles, but there is not a single piece of contemporary evidence to support it. De Bles was probably only 14(?) when Patinir died, and his style was quite different, although both came from Dinant. The latter is the only fact connecting the two artists at the moment.",Patinir,Joachim
Jurgan Frederick Huge,Q21403134,1809,1878,+1809-00-00T00:00:00Z,+1878-00-00T00:00:00Z,Q30,United States of America,,,,Huge,Jurgan Frederick
Barton S. Hays,Q4865682,1826,1914,+1826-01-01T00:00:00Z,+1914-01-01T00:00:00Z,Q30,United States of America,,Barton S. Hays,"Barton Stone Hays (April 5, 1826 in Greenville, Ohio – March 14, 1914 in Minneapolis, Minnesota) was an early Indiana artist and teacher.
He was a self-taught artist who was known for his portraits, landscapes and still life paintings.  While working in Indiana from 1850 to 1882, Hays taught such important young artists as William Forsyth, John Elwood Bundy and William Merritt Chase.  Hays' portrait of Indiana Territorial Governor William Henry Harrison is part of the official collection of portraits of Indiana governors.

",Hays,Barton Stone
Graham Nickson,Q20856747,1946,,+1946-01-01T00:00:00Z,,Q145,United Kingdom,,Graham Nickson,"Graham Nickson (born 1946) is a British artist known for large-scale figurative paintings and drawings. He was born in Knowle Green, United Kingdom. He has lived in New York City since 1976 and he has been Dean of the New York Studio School since 1988, where he developed a ""Drawing Marathon,"" a two-week program of intensive study. Nickson works in oils, acrylics, charcoal, and watercolor.",Nickson,Graham
Loïs Mailou Jones,Q3258676,1905,1998,+1905-11-03T00:00:00Z,+1998-06-09T00:00:00Z,Q30,United States of America,"https://commons.wikimedia.org/wiki/Special:FilePath/Lois Jones, artist and teacher - NARA - 559227.jpg",Lois Mailou Jones,"Lois Mailou Jones (1905–1998) was an artist and educator. Her work can be found in the collections of the Smithsonian American Art Museum, The Metropolitan Museum of Art, the National Museum of Women in the Arts, the Brooklyn Museum, the Museum of Fine Arts, Boston, Muscarelle Museum of Art, and The Phillips Collection. She is often associated with the Harlem Renaissance.",Jones,Lois Mailou
Rosso Fiorentino,Q312617,1494,1540,+1494-03-08T00:00:00Z,+1540-11-14T00:00:00Z,Q38,Italy,"https://commons.wikimedia.org/wiki/Special:FilePath/Houghton Typ 525 68.864 - Vasari, Le vite - Il Rosso.jpg",Rosso Fiorentino,"Giovanni Battista di Jacopo (8 March 1495 – 14 November 1540), known as Rosso Fiorentino (meaning ""Florentine Redhead"" in Italian) or Il Rosso (""The Redhead""), was an Italian Mannerist painter who worked in oil and fresco and belonged to the Florentine school.

",Fiorentino,Rosso
Worthington Whittredge,Q1370512,1820,1910,+1820-05-22T00:00:00Z,+1910-02-25T00:00:00Z,Q30,United States of America,"https://commons.wikimedia.org/wiki/Special:FilePath/Worthington Whittredge by William Merritt Chase, c1890.jpg",Worthington Whittredge,"Thomas Worthington Whittredge (May 22, 1820 – February 25, 1910) was an American artist of the Hudson River School. Whittredge was a highly regarded artist of his time, and was friends with several leading Hudson River School artists including Albert Bierstadt and Sanford Robinson Gifford. He traveled widely and excelled at landscape painting, many examples of which are now in major museums. He served as president of the National Academy of Design from 1874 to 1875 and was a member of the selection committees for the 1876 Philadelphia Centennial Exposition and the 1878 Paris Exposition, both important venues for artists of the day.",Whittredge,Worthington
A.A. Lamb,Q21497641,,,,,,,,,,Lamb,A.A.
