title,artist_display,date_display,creation_year_start,creation_year_end,medium,classification,artist_id,location,description,short_description,dimension,artwork_id,full_image_url
Landscape of the Four Seasons,"Sesson Shukei (Japanese, 1504-about 1589)",c. 1560,1501.0,1600.0,Pair of six-fold screens; ink and light color on paper,Painting,ARTIC-23566,Japan,"<p>Sesson Shukei was a Zen Buddhist monk and painter who achieved his idiosyncratic painterly style during an itinerant career in eastern Japan, seemingly without ever traveling to Kyoto, Japan’s cultural and political capital at the time. Sesson’s dream-like Chinese landscape expands before our eyes in understandable spatial depth, an effect that is enhanced by the folds of the screen. Reading the composition in the same manner as the Japanese language, from right to left, the seasons flow from the first red plum blossoms of the year, depicted on the right side of the right screen (top), all the way across to the snow-covered mountains on the far left side of the left screen (bottom). A mountain temple on the right and a village on the left enclose an inlet upon which boats come and go. People bustle about in activity, geologically impossible rock formations twist and turn, and water splashes out from the bottom of a waterfall like reaching fingers.</p>
<p>For adherents of Zen Buddhism, a sect with origins in China, idealized landscapes described a world akin to paradise, in which intellectual and religious activities could be pursued unhindered and the cycle of the seasons symbolized the harmony and rebirth inherent in the natural world.</p>
",,156.5 × 337 cm (61 5/8 × 132 11/16 in.),ARTIC-8296a638-d1c7-44df-5519-d582ae80c457,https://www.artic.edu/iiif/2/8296a638-d1c7-44df-5519-d582ae80c457/full/max/0/default.jpg
"Shah Inayat Allah of Sind with his Musician Makkhu and his Attendant Shaykh Qiyam al-Din, page from the Fraser Album","India, Delhi","Company School, c. 1820",1815.0,1825.0,Opaque watercolor on paper,Painting,,India,,,30.6 × 41.5 cm (12 1/16 × 16 1/4 in.),ARTIC-3fbc2de3-cb50-7423-4e40-bfe4845fe71d,https://www.artic.edu/iiif/2/3fbc2de3-cb50-7423-4e40-bfe4845fe71d/full/max/0/default.jpg
The Fisherman's Family,"Pierre Puvis de Chavannes (French, 1824-1898)",1887,1887.0,1887.0,Oil on canvas,Painting,ARTIC-36292,France,,,82.5 × 71.8 cm (32 1/2 × 28 1/4 in.),ARTIC-ce26526c-dcc1-8967-05f8-bf74fa8d7eb8,https://www.artic.edu/iiif/2/ce26526c-dcc1-8967-05f8-bf74fa8d7eb8/full/max/0/default.jpg
In the Auvergne,"Jean-François Millet (French, 1814-1875)",1866/69,1866.0,1866.0,Oil on canvas,Painting,ARTIC-35787,France,,,81.5 × 99.9 cm (32 1/16 × 39 1/4 in.),ARTIC-7a313db7-2369-1c7b-b4f7-a1d29218f778,https://www.artic.edu/iiif/2/7a313db7-2369-1c7b-b4f7-a1d29218f778/full/max/0/default.jpg
The Hollow Road,"Cornelis Huysmans (Flemish, 1648-1727)",c. 1700,1695.0,1705.0,Oil on canvas,Painting,ARTIC-35046,Belgium,,,25.4 × 31.8 cm (10 × 12 1/2 in.),ARTIC-c858614f-f411-e7d5-71fb-014a534f8294,https://www.artic.edu/iiif/2/c858614f-f411-e7d5-71fb-014a534f8294/full/max/0/default.jpg
Flowers of the Four Seasons,Artist unknown (spurious attribution to Prince Yongrong) (Chinese),"Qing dynasty (1644–1911), 18th/19th century",1701.0,1800.0,Hanging scroll; ink and colors on paper,Painting,ARTIC-109629,China,"<p>Meticulously outlined and colored with a finely tapered brush, these multiseasonal flowers—including iris, peony, lotus, poppy, lily, narcissus, chrysanthemum, nandina berry, and plum—display a draftsman-like style mastered by court artists. The inscription on this painting attributes its image of floral abundance to Yongrong, the sixth son of the Qianlong emperor (r. 1735-95).  Prince Yongrong supervised the Imperial Household Department, which served diverse needs of the emperor and his family in the residential quarters of the palace.  The attribution of this painting remains open to study.</p>
",,136.2 × 70.7 cm (53 5/8 × 27 7/8 in.),ARTIC-27440046-931e-8f6f-22f6-3ad8d3402631,https://www.artic.edu/iiif/2/27440046-931e-8f6f-22f6-3ad8d3402631/full/max/0/default.jpg
"A Vanitas Still Life with a Flag, Candlestick, Musical Instruments, Books, Writing Paraphernalia, Globes and Hourglass","Edwaert Collier (Dutch, 1642-1708)",1662,1662.0,1662.0,Oil on canvas,Painting,ARTIC-117170,Holland,"<p>Edwaert Collier was well known in his own time for his still lifes, which replicated in intricate detail actual maps and globes. Here, he reproduced a portion of Frederik de Wit’s 1660 map of the Americas and Jodocus Hondius’s terrestrial globe with a view of Mexico, both of which allude to the Dutch Republic’s international trade networks and the ambition to possess the world through cartographic knowledge. The extinguished candle and hourglass, in contrast, reference the fleeting nature of time. Through such highly illusionistic renderings of the symbols of worldly pursuits, Collier evoked the tension between humanity’s lasting contributions to the fields of art and science and the brevity of an individual life.</p>
",,98 × 129.7 cm (38 1/2 × 51 in.),ARTIC-2c81e86c-2ef6-c4ef-11fb-9fb7a7245273,https://www.artic.edu/iiif/2/2c81e86c-2ef6-c4ef-11fb-9fb7a7245273/full/max/0/default.jpg
Eight Views of the Xiao and Xiang Rivers,"Yamaguchi Sekkei (Japanese, 1644-1732)",Late 17th–early 18th century,1644.0,1732.0,"Pair of six-fold screens; ink, colors, and gold paint on paper",Painting,ARTIC-57671,Japan,,,170 × 390 cm (66 15/16 × 153 9/16 in.),ARTIC-aadf0370-4651-4a50-4c5b-1a7bdbb80d05,https://www.artic.edu/iiif/2/aadf0370-4651-4a50-4c5b-1a7bdbb80d05/full/max/0/default.jpg
"Meetinghouse Hill, Roxbury, Massachusetts","John Ritto Penniman (American, c. 1782-1841)",1799,1799.0,1799.0,Oil on canvas,Painting,ARTIC-20290,Roxbury,,,73.6 × 94 cm (29 × 37 in.),ARTIC-498e45a7-5721-25dd-e26c-09b3e5b8010b,https://www.artic.edu/iiif/2/498e45a7-5721-25dd-e26c-09b3e5b8010b/full/max/0/default.jpg
Forêt de Compiègne,"Berthe Morisot (French, 1841-1895)",1885,1885.0,1885.0,Oil on canvas,Painting,ARTIC-35834,France,,,54.2 × 64.8 cm (21 3/8 × 25 1/2 in.),ARTIC-bfc9b17a-cc18-7bd3-4d78-e925bb1a8b27,https://www.artic.edu/iiif/2/bfc9b17a-cc18-7bd3-4d78-e925bb1a8b27/full/max/0/default.jpg
Landscape in the Style of Ancient Masters: Artist's commentary,"Lan Ying (Chinese, 1585-c. 1664)","Ming dynasty (1368–1644), dated 1642",1637.0,1647.0,Album leaf; ink and color on paper,Painting,ARTIC-14686,China,,,31 × 40.7 cm (12 × 16 in.),ARTIC-33dfbf42-50aa-20ab-2d01-69bd41678dac,https://www.artic.edu/iiif/2/33dfbf42-50aa-20ab-2d01-69bd41678dac/full/max/0/default.jpg
Alpine Scene,"Gustave Doré (French, 1832-1883)",1865,1865.0,1865.0,Oil on canvas,Painting,ARTIC-40557,France,,,195.5 × 130 cm (77 × 51 1/8 in.),ARTIC-07bdc94a-7d44-fde8-c0e1-f19fefce359d,https://www.artic.edu/iiif/2/07bdc94a-7d44-fde8-c0e1-f19fefce359d/full/max/0/default.jpg
Slender Woman with Vase,"József Rippl-Rónai (Hungarian, 1861-1927)",1894,1894.0,1894.0,Oil on canvas,Painting,ARTIC-47452,,,,186 × 73 cm (73 1/4 × 28 3/4 in.),ARTIC-2479fd9c-a90e-2f5a-b418-6ed505ab2bb9,https://www.artic.edu/iiif/2/2479fd9c-a90e-2f5a-b418-6ed505ab2bb9/full/max/0/default.jpg
"Virgin and Child Enthroned with Saints Peter, Paul, John the Baptist, and Dominic and a Dominican Supplicant","Attributed to Ugolino di Nerio  (Italian, active 1317-1339/49)",1325/35,1325.0,1335.0,Tempera on panel,Painting,ARTIC-26807,Italy,"<p>In 1260 Gerard de Frachet, an early chronicler of the Dominican order, noted that the friars had “in their cells . . . before their eyes images of Mary and her crucified son, so that while reading, praying, and sleeping they could look upon them and be looked upon by them, with eyes of compassion.” This image of the Virgin and Child with saints would have served such a purpose. A Dominican friar kneels before the enthroned Virgin, just below the figure of Saint Dominic, who intercedes on the friar’s behalf. Traces of hinges on the left edge suggest that the piece was part of diptych, probably paired with a painting of the Crucifixion.</p>
",,37.2 × 23.2 cm (14 5/8 × 9 1/8 in.),ARTIC-e3c6d59b-4f1b-aee9-5ae4-a8f4a735eded,https://www.artic.edu/iiif/2/e3c6d59b-4f1b-aee9-5ae4-a8f4a735eded/full/max/0/default.jpg
Landscape with Figures and Buildings,French,c. 1680/1700,1670.0,1710.0,Oil on canvas,Painting,,France,,,77.5 × 106.7 cm (30 1/2 × 42 in.),ARTIC-084d1143-6073-96e5-433c-6a3bb83a1bbd,https://www.artic.edu/iiif/2/084d1143-6073-96e5-433c-6a3bb83a1bbd/full/max/0/default.jpg
Loading Hay,"Mihaly Munkácsy (Hungarian, 1844-1900)",c. 1886-87,1881.0,1892.0,Oil on canvas,Painting,ARTIC-62950,Hungary,,,59.5 × 97 cm (23 1/2 × 38 in.),ARTIC-2dcd9e08-6f4f-9c8a-30b0-54ed93d7c049,https://www.artic.edu/iiif/2/2dcd9e08-6f4f-9c8a-30b0-54ed93d7c049/full/max/0/default.jpg
"Fashionable Figures, with Two Women Holding Fans",British,1733/35,1733.0,1735.0,"Oil on plaster, mounted on aluminum honeycomb panel",Painting,,England,,,81.4 × 153.5 cm (32 1/16 × 60 7/16 in.),ARTIC-54158bba-a588-ead7-adec-fb177c29203b,https://www.artic.edu/iiif/2/54158bba-a588-ead7-adec-fb177c29203b/full/max/0/default.jpg
Madonna of Humility,Bolognese (Italian),1375/1400,1375.0,1400.0,Tempera on panel,Painting,ARTIC-3909,Italy,,,Panel: 98.9 × 59.4 cm (39 × 23 3/8 in.); Painted surface: 97.7 × 57 cm (38 1/2 × 22 1/2 in.),ARTIC-33fb43be-8efc-4d35-a6fe-e92c890338bc,https://www.artic.edu/iiif/2/33fb43be-8efc-4d35-a6fe-e92c890338bc/full/max/0/default.jpg
Portrait of a Gentleman,"Ridolfo Ghirlandaio (Italian, 1483-1561)",c. 1505,1500.0,1510.0,"Oil, probably with some tempera, on panel; transferred to canvas",Painting,ARTIC-34641,Italy,"<p>Ridolfo Ghirlandaio transformed the large workshop he inherited from his famous, fresco-painter father, Domenico, into one that specialized in portraits and festival decorations. One of Ridolfo’s most celebrated pictures, this work reveals his careful study of the portraits of Leonardo da Vinci and Raphael in its calm, pyramidal, and expansive presentation of the sitter and in its active, searching light. The foreground parapet, or ledge, over which a hand projects illusionistically into the viewer’s space and the glimpse of landscape through the window are devices Ridolfo borrowed from Flemish painting. The headpiece (<em>cappuccio</em>) and fur-cuffed robe of the unidentified sitter were customary apparel for well-to-do Florentine merchants.</p>
",,68.2 × 49.2 cm (26 11/16 × 19 3/8 in.),ARTIC-db37b494-6b09-18ce-a618-0b16352f33a2,https://www.artic.edu/iiif/2/db37b494-6b09-18ce-a618-0b16352f33a2/full/max/0/default.jpg
Magnolias on Light Blue Velvet Cloth,"Martin Johnson Heade (American, 1819–1904)",1885–95,1885.0,1895.0,Oil on canvas,Painting,ARTIC-31435,Florida,"<p>This sensuous and decorative image dates from the later part of Martin Johnson Heade’s long, varied, and peripatetic career. Traveling through much of the United States, to England and continental Europe, and (three different times) to Brazil, he produced work ranging from pristine views of East Coast salt marshes and lush tropical landscapes to pictures of exotic hummingbirds and orchids. At the age of sixty-four, Heade settled in Saint Augustine, Florida. There he began painting detailed arrangements of native flowers, including the Cherokee rose, orange blossom, and magnolia. Stretched out like an odalisque on blue velvet cloth, the curvaceous magnolia was meticulously rendered in pale, subtle hues and illuminated by a light so sharp that the image evokes the hyperintensity of a dream. The warm, steamy atmosphere is almost palpable, as is the blossom’s heady, pungent scent. The Art Institute’s <em>Magnolias</em> is one of a number of compositions by the artist featuring this dramatic yet delicate white flower.</p>
","This painting dates from the later part of Martin Johnson Heade’s long, varied, and peripatetic career. After traveling through the United States, to England and continental Europe, and three different times to Brazil, Heade settled in Saint Augustine, Florida, at the age of 64. There he began painting detailed arrangements of native flowers, including the Cherokee rose, orange blossom, and, as in this work, magnolia.",38.6 × 61.8 cm (15 1/4 × 24 3/8 in.),ARTIC-0729fbba-51e3-a2d7-6d4d-61c2be62af3f,https://www.artic.edu/iiif/2/0729fbba-51e3-a2d7-6d4d-61c2be62af3f/full/max/0/default.jpg
Portrait of Fridrich Rorbach,"Conrad Faber von Creuznach (German, active about 1520-52/53)",1532,1532.0,1532.0,Oil on panel,Painting,ARTIC-52864,Germany,"<p>This portrait would have served as a document of a marriage. Friedrich Rorbach’s name, age, and coat of arms, along with the date, are painted on the back of the panel, which was originally paired with a portrait of his wife, Katherina Knoblauchin, now in the National Gallery of Ireland. The two portraits share the same background— a fanciful mountain landscape. Conrad Faber, who worked in Frankfurt-am-Main, specialized in portraits depicting the patrician elite of that prosperous city. In the early 16th century, the energy and self-confidence of the many courts and free cities loosely united in the Holy Roman Empire brought about an artistic flowering in Germany.</p>
",,50.4 × 35.7 cm (19 7/8 × 14 1/16 in.),ARTIC-26ac1e6d-e547-0d9d-707b-7cec76babb60,https://www.artic.edu/iiif/2/26ac1e6d-e547-0d9d-707b-7cec76babb60/full/max/0/default.jpg
Birds on Red Plum,"Ren Yi (Chinese, 1840-1895)","Qing dynasty (1644–1911), 1892",1887.0,1897.0,Hanging scroll; ink and colors on paper,Painting,ARTIC-20727,China,"<p>Ren Yi was among the most successful and influential among Chinese painters of the so-called Shanghai School.  Arriving in Shanghai in 1857, he took the artistic name “bonian” (one-hundred years), claiming that it would take him a century to achieve success. However, by 1875 Ren Yi was the best-known painter in Shanghai. His highly sought-after bird-and-flower paintings initially followed the Song dynasty (960–1279) convention of applying rich color fields within outlines, producing decorative patterning with lifelike representation. This work represents his mature, more spontaneous style that is characterized by looser brushwork, more ink washes, and greater tonal variation.</p>
<p>Six pairs of sparrows are perched among the branches of a weathered plum tree that is partially obscured by a large, moss-covered boulder. Since the delicate, five-petal plum blossom appears at the earliest sign of spring, often when the ground is still covered with snow, it is interpreted both as a harbinger of spring and as a symbol for endurance and virtue in the face of adversity. Here, Ren Yi captured the frenetic energy of the sparrows, also a sign of spring, by depicting each one in a unique pose.</p>
",,187.3 × 97.5 cm (73 3/4 × 38 3/8 in.),ARTIC-b3fc4221-975f-3664-a86c-19451268c85e,https://www.artic.edu/iiif/2/b3fc4221-975f-3664-a86c-19451268c85e/full/max/0/default.jpg
The Family Concert,"Jan Steen (Dutch, 1626-1679)",1666,1666.0,1666.0,Oil on canvas,Painting,ARTIC-36780,Holland,"<p>This well-appointed interior sets the scene for the courtship ritual of music-making, through which men and women became acquainted by singing and playing instruments together. The boy in the foreground, mimicking the adults, strums a cello with a pipe and breaks a string, a subtle allusion to the perils of unbridled passion. Jan Steen, one of the Dutch Republic’s most prolific comic painters, crafted his scenes upon the contemporary notion that comedy mirrors everyday life.</p>
",,86.6 × 101 cm (34 1/8 × 39 3/4 in.),ARTIC-87433360-2578-5b1b-c0b7-67921dc226fa,https://www.artic.edu/iiif/2/87433360-2578-5b1b-c0b7-67921dc226fa/full/max/0/default.jpg
Prince Riding in Chariot Drawn by Goats,India,c. 1585,1580.0,1725.0,Opaque watercolor and gold on paper,Painting,ARTIC-104691,India,,,Image: 20.2 × 12.4 cm (7 7/8 × 4 7/8 in.); Outermost Border: 28 × 18.3 cm (11 × 7 5/8 in.); Paper: 28 × 18.3 cm (11 × 7 5/8 in.),ARTIC-b613ef4a-4b31-7e83-c5c0-80954bcdc1c1,https://www.artic.edu/iiif/2/b613ef4a-4b31-7e83-c5c0-80954bcdc1c1/full/max/0/default.jpg
"Ragini Gaund, Page from a Jaipur Ragamala Set","India (Rajasthan, Jaipur)",c. 1750-1770,1745.0,1770.0,Opaque watercolor and gold on paper,Painting,,Rajasthan,,,Image: 22.8 × 14.7 cm (8 15/16 × 5 3/4 in.); Outermost Border: 24.1 × 16 cm (9 1/2 × 6 5/16 in.); Paper: 30.5 × 22.5 cm (12 × 8 7/8 in.),ARTIC-a787b13e-6c41-1245-ecf4-d48a3cec6297,https://www.artic.edu/iiif/2/a787b13e-6c41-1245-ecf4-d48a3cec6297/full/max/0/default.jpg
The Bewitched Mill,"Franz Marc (German, 1880-1916)",1913,1913.0,1913.0,Oil on canvas,Painting,ARTIC-16157,Germany,"<p>Among the German Expressionists, artists who used strong color and exaggerated form to express emotional content, Franz Marc was unique in his empathic interest in the life of animals. &quot;Is there a more mysterious idea,&quot; he asked, &quot;than to imagine how nature is reflected in the eyes of animals?&quot; Beginning in 1905, he devoted himself to representing the world with a fresh and purifying vision. Marc painted <em>The Bewitched Mill</em> following a sojourn to the Italian town of Merano in the southern Tirol. The work's title refers to the &quot;magical&quot; harmony he sensed there between human life, represented by the houses and mill on the left, and nature, embodied by the lyrical region of trees and animals on the right.</p>
",,Without frame: 130.2 × 90.8 cm (51 5/16 × 35 3/4 in.); 130.2 × 91.2 cm (51 1/4 × 35 7/8 in.),ARTIC-6829aab0-8d0e-9438-aebf-a1a379572951,https://www.artic.edu/iiif/2/6829aab0-8d0e-9438-aebf-a1a379572951/full/max/0/default.jpg
Flowers and Insects,"Chai Zhenyi 柴貞儀 and Chai Jingyi 柴靜儀 (Chinese, 17th century)","Qing dynasty (1644–1911), reign of Kangxi (1662–1722) 清朝",1662.0,1722.0,Handscroll; ink and color on paper,Painting,ARTIC-26631,China,"<p>This sensitively idyllic glimpse of nature is the collaborative work of two sisters, who resided in east coastal Hangzhou. The city’s mild climate and beautiful scenery attracted generations of intellectual elite. Fostered by that cultural ambience, both sisters became renowned as poets and painters, but their painting styles were quite distinct. Whereas Chai Jingyi specialized in semi-abstract images of nature that affirmed ideals of self-expression, Chai Zhengyi was most renowned for closely observant studies such as this. Depicted together with asters and Asiatic dayflowers, the fruiting wild rose (dog rose) places this scene in the autumn. Inhabiting this vegetation is a variety of graceful insects— the butterfly, mantis, locust, and other grasshoppers. Such creatures denoted the annual passage of seasons in early poetry, and from that literary tradition, became elegant and often allusive subjects of painting.</p>
",,27.9 × 430.6 cm (169 1/2 × 10 15/16 in.),ARTIC-98de0aaf-e074-2536-5e15-44a03bf2c855,https://www.artic.edu/iiif/2/98de0aaf-e074-2536-5e15-44a03bf2c855/full/max/0/default.jpg
Landscape,"William Keith (American, born Scotland, 1839-1911)",1868-1900,1868.0,1900.0,Oil on panel,Painting,ARTIC-35230,United States,,,13.5 × 21.2 cm (5 3/8 × 8 3/8 in.),ARTIC-c6cea784-0e0d-e690-f2dd-c25b5d061bef,https://www.artic.edu/iiif/2/c6cea784-0e0d-e690-f2dd-c25b5d061bef/full/max/0/default.jpg
Saint Catherine,"Jean Bellegambe (French, c. 1470-1535/36)",c. 1520,1515.0,1525.0,Oil on panel,Painting,ARTIC-30553,France,"<p>Jean Bellegambe worked in Douai, in a part of northern France that was once part of the county of Flanders. <a href=""https://www.artic.edu/collection?artist_ids=Jean+Bellegambe"">These panels</a> are the wings of a triptych, a three-paneled folding altarpiece, whose center (now in the Musées Royaux des Beaux-Arts, Brussels) shows the Virgin and Child enthroned under an elaborate architectural canopy.  The two elegant saints are identifiable by their attributes: for Catherine, the wheel upon which she was tortured and the sword with which she was martyred; and for <a href=""https://www.artic.edu/artworks/100347"">Barbara</a>, the tower where her father locked her up to keep her safe from suitors. Saint Catherine also holds a ring, which the Christ Child in the Brussels panel reaches to grasp, thus indicating that their mystical union was the subject of the triptych.  The tops of the two wings have been rounded off to mask their original function as moveable shutters to the left and right of the center panel.  The backs and fronts of the wings were also separated; the backs of the wings, showing the Annunciation when the triptych was closed, are now in the Walters Art Museum, Baltimore.</p>
",,82.5 × 28.1 cm (32 1/2 × 11 1/16 in.); Painted surface: 81.5 × 27.3 cm (32 1/8 × 10 3/4 in.),ARTIC-c9fc58cb-18a5-5009-1a6b-90e5a7483798,https://www.artic.edu/iiif/2/c9fc58cb-18a5-5009-1a6b-90e5a7483798/full/max/0/default.jpg
Virgin and Child,"After Giovanni Bellini (Italian, 1428/30-1516)",16th century or later,1500.0,1600.0,Tempera or oil on panel,Painting,ARTIC-33587,Italy,,,71.5 × 55.4 cm (28 1/8 × 21 3/4 in.),ARTIC-14f54f04-6bf4-f75f-7a85-2317578071fc,https://www.artic.edu/iiif/2/14f54f04-6bf4-f75f-7a85-2317578071fc/full/max/0/default.jpg
One of a Pair of Manuscript Covers from the Perfection of Wisdom Sutra (Ashtasahasrika Prajnaparamita Sutra),Nepal,c. 17th century,1601.0,1700.0,Pigments and metallic paint on wood,Painting,,Nepal,,,10.2 × 41.1 × 1.4 cm (4 × 16 3/16 × 9/16 in.),ARTIC-ba490e49-d2dc-907d-2809-ef22ff15f547,https://www.artic.edu/iiif/2/ba490e49-d2dc-907d-2809-ef22ff15f547/full/max/0/default.jpg
River Boat,"Charles François Daubigny (French, 1817-1878)",c. 1860,1855.0,1865.0,Oil on board,Painting,ARTIC-40516,France,,,21.2 × 45.4 cm (8 3/8 × 17 7/8 in.); Unframed: 21 × 45.5 cm (8 1/4 × 17 7/8 in.),ARTIC-24f5a9ff-fe25-e1be-65f5-d65f2d509ad4,https://www.artic.edu/iiif/2/24f5a9ff-fe25-e1be-65f5-d65f2d509ad4/full/max/0/default.jpg
Portrait of a Man,Flemish,1525/50,1525.0,1550.0,Oil on oak panel,Painting,ARTIC-46432,Flanders,,,41.9 × 34.3 cm (16 1/2 × 13 1/2 in.),ARTIC-1bb08195-44b0-030c-c610-9fb6bb45e9b0,https://www.artic.edu/iiif/2/1bb08195-44b0-030c-c610-9fb6bb45e9b0/full/max/0/default.jpg
Virgin and Child Enthroned,"Girolamo da Santacroce (Italian, fl. 1503, d. 1556)",1516,1516.0,1516.0,"Tempera or oil on panel, transferred to canvas",Painting,ARTIC-34118,Italy,,,86.9 × 44.7 cm (34 1/4 × 17 5/8 in.),ARTIC-9cabe627-598a-e86f-5f10-456e5e4997bf,https://www.artic.edu/iiif/2/9cabe627-598a-e86f-5f10-456e5e4997bf/full/max/0/default.jpg
The Death of Procris,"Benjamin West (British, born in America, 1738-1820)","1770, retouched 1803",1770.0,1770.0,Oil on panel,Painting,ARTIC-37270,England,,,32.4 × 41.2 cm (12 3/4 × 16 1/4 in.),ARTIC-6fb6c48d-5877-1077-0f9d-6a17cee3c4f8,https://www.artic.edu/iiif/2/6fb6c48d-5877-1077-0f9d-6a17cee3c4f8/full/max/0/default.jpg
Portrait of a Gentleman,Artist unknown (Chinese),Yuan dynasty (1260–1368) or Ming dynasty (1368–1644),1650.0,1900.0,Album leaf; ink and colors on silk,Painting,,China,,,H.: 29.5 cm (11 5/8 in.),ARTIC-0c43d8d7-c93b-cbea-b57c-22d2533ec007,https://www.artic.edu/iiif/2/0c43d8d7-c93b-cbea-b57c-22d2533ec007/full/max/0/default.jpg
Seascape,"Pierre-Auguste Renoir (French, 1841-1919)",1879,1879.0,1879.0,Oil on canvas,Painting,ARTIC-36351,France,,,72.6 × 91.6 cm (28 1/2 × 36 in.),ARTIC-caf4fa39-e2e8-344a-542c-2d9a03ec9d4b,https://www.artic.edu/iiif/2/caf4fa39-e2e8-344a-542c-2d9a03ec9d4b/full/max/0/default.jpg
Niagara Falls in Winter,"Jasper Francis Cropsey (American, 1823-1900)",1868,1868.0,1868.0,Oil on canvas,Painting,ARTIC-34085,United States,,,30.5 × 50.8 cm (12 × 20 in.),ARTIC-42924282-d483-cd95-e676-52aee4bc4164,https://www.artic.edu/iiif/2/42924282-d483-cd95-e676-52aee4bc4164/full/max/0/default.jpg
The Fire Eater Raised His Arms to the Thunder Bird,"Frederic Remington (American, 1861–1909)",c. 1900,1900.0,1900.0,Oil on canvas,Painting,ARTIC-21570,New York,,,69.2 × 102.6 cm (27 1/4 × 40 3/8 in.),ARTIC-6548b683-5854-16a6-e462-b3a81a0b99e2,https://www.artic.edu/iiif/2/6548b683-5854-16a6-e462-b3a81a0b99e2/full/max/0/default.jpg
Flowers: Poppies and Daisies,"Odilon Redon (French, 1840-1916)",c. 1867,1862.0,1872.0,Oil on cardboard,Painting,ARTIC-36336,France,,,19 × 23.5 cm (7 1/2 × 9 1/4 in.),ARTIC-d424c734-f5c1-5f89-3bb8-d83e4e0287e3,https://www.artic.edu/iiif/2/d424c734-f5c1-5f89-3bb8-d83e4e0287e3/full/max/0/default.jpg
Chariot Race,"Jean Léon Gérôme (French, 1824-1904)",1876,1876.0,1876.0,Oil on cradled panel,Painting,ARTIC-34587,France,,,86.3 × 156 cm (34 × 61 7/16 in.),ARTIC-e728fa6d-c643-2b68-133d-74770ded12ef,https://www.artic.edu/iiif/2/e728fa6d-c643-2b68-133d-74770ded12ef/full/max/0/default.jpg
John Philip Kemble,"Martin Archer Shee (Irish, 1769-1850)",c.1795,1790.0,1800.0,Oil on canvas,Painting,ARTIC-23714,Ireland,,,72.7 × 59.7 cm (28 5/8 × 23 1/2 in.),ARTIC-d87fb077-01b8-3238-0a71-3a9c96dd6cec,https://www.artic.edu/iiif/2/d87fb077-01b8-3238-0a71-3a9c96dd6cec/full/max/0/default.jpg
Gian Lodovico Madruzzo,"Giovanni Battista Moroni (Italian, 1520/24-1578)",1551/52,1551.0,1552.0,Oil on canvas,Painting,ARTIC-35838,Italy,,,199.8 × 116 cm (78 5/8 × 45 5/8 in.),ARTIC-bc24fe7f-4171-c785-bff2-b2ed3777a47d,https://www.artic.edu/iiif/2/bc24fe7f-4171-c785-bff2-b2ed3777a47d/full/max/0/default.jpg
Innocence Prefers Love to Riches,"Pierre Paul Prud'hon (French, 1758-1823)",c. 1804,1799.0,1809.0,Oil on panel,Painting,ARTIC-36286,France,"<p>In this allegorical painting, a personification of Innocence at center signals her preference for Love, represented as a cupid, over Riches, taking the form of a woman in lavish Grecian robes and offering a chest of golden baubles. Pierre-Paul Prud’hon complicated this straightforward parable by manipulating the figures’ postures: while Innocence embraces Love, she gazes longingly over her shoulder at Riches, inviting viewers to wonder about the finality of her decision.</p>
<p>Prud’hon created this preparatory sketch for a larger painting to be completed by his collaborator and friend, Constance Mayer, who was known for her portraits and allegorical scenes.</p>
",,34.3 × 27.2 cm (13 1/2 × 10 9/16 in.),ARTIC-f003f28b-ddec-6070-bac5-57e7c3448b67,https://www.artic.edu/iiif/2/f003f28b-ddec-6070-bac5-57e7c3448b67/full/max/0/default.jpg
Ad Astra,"Akseli Gallen-Kallela (Finnish, 1865-1931)",1894/96,1894.0,1896.0,Oil on canvas with a painted and gilded wooden shrine,Painting,ARTIC-9228,,"<p>After associating with the Symbolists, including <a href=""https://www.artic.edu/artists/44014/edvard-munch"">Edvard Munch</a>, in Paris, Akseli Gallen-Kallela carried these influences to his native Finland while also incorporating indigenous folkloric traditions into his artistic practice. By intermingling Nordic Neo-Romanticism, Symbolism, and the decorative arts, he created a new visual language, which both spoke to and espoused the burgeoning sense of Finnish identity in the late 19th century. This conception of a unique ethnic culture reflected a general resistance within Finland to the dominance of Russia, which had conquered the country in 1809, as well as the rise of nationalist movements throughout Europe during this time.</p>
<p>The artist produced <em>Ad astra</em> (<em>To the Stars</em>) in rural Finland. He later built a wilderness studio and home there and this work decorated the space. GallenKallela saw the girl’s pose as recalling Christ’s Crucifixion. The suspension of gravity, as indicated by her hair, and the upward momentum evoke the triumph of the Resurrection. The frame, which he both designed and executed, was fashioned to resemble an altarpiece, and he employed the painting as one during his daughter’s baptism.</p>
",,Canvas: 76 × 85 cm (29 15/16 × 33 7/16 in.),ARTIC-585675bb-6b89-3c49-eb28-4bc4b2bbe500,https://www.artic.edu/iiif/2/585675bb-6b89-3c49-eb28-4bc4b2bbe500/full/max/0/default.jpg
